word,clue
return,the action of arriving in or coming back to a place that you were in before
reveal,to make something known to somebody
revelation,"a fact that people are made aware of, especially one that has been secret and is surprising"
revenge,something that you do in order to make somebody suffer because they have made you suffer
revenue,"the money that a government receives from taxes or that an organization, etc. receives from its business"
reverse,opposite to what has been mentioned
review,"a report in a newspaper or magazine, or on the internet, television or radio, in which somebody gives their opinion of a book, play, film, product, etc.; the act of writing this kind of report"
revise,"to change your opinions or plans, for example because of something you have learned"
revision,a change or set of changes to something
revival,an improvement in the condition or strength of something
revive,"to become, or to make somebody/something become, conscious or healthy and strong again"
revolution,"an attempt, by a large number of people, to change the government of a country, especially by violent action"
revolutionary,connected with political revolution
reward,"a thing that you are given because you have done something good, worked hard, etc."
rhetoric,"speech or writing that is intended to influence people, but that is not completely honest or sincere"
rhythm,a strong regular repeated pattern of sounds or movements
rice,"short, narrow white or brown grain grown on wet land in hot countries as food; the plant that produces this grain"
rich,having a lot of money or property
rid,to be free of somebody/something that has been annoying you or that you do not want
ride,"a short journey in a vehicle, on a bicycle, etc."
ridiculous,very silly or unreasonable
rifle,a gun with a long barrel which you hold to your shoulder to fire
right,true or correct as a fact
ring,"a piece of jewellery that you wear on your finger, consisting of a round band of gold, silver, etc., sometimes decorated with precious stones"
riot,"a situation in which a group of people behave in a violent way in a public place, often as a protest"
rip,"to tear something or to become torn, often suddenly or violently"
rise,"an increase in an amount, a number or a level"
risk,the possibility of something bad happening at some time in the future; a situation that could be dangerous or have a bad result
risky,involving the possibility of something bad happening
ritual,"a series of actions that are always performed in the same way, especially as part of a religious ceremony"
rival,"competing with another person, company, thing, etc."
river,a natural flow of water that continues in a long line across land to the sea
road,a hard surface built for vehicles to travel on
rob,to steal money or property from a person or place
robbery,"the crime of stealing money or goods from a bank, shop, person, etc., especially using violence or threats"
robot,a machine that can perform a complicated series of tasks by itself
robust,strong and healthy
rock,the hard solid material that forms part of the surface of the earth and some other planets
rocket,a spacecraft in the shape of a tube that is driven by a stream of gases let out behind it when fuel is burned inside
rod,"a long straight piece of wood, metal or glass"
role,"an actor’s part in a play, film, etc."
roll,a small loaf of bread for one person
romance,"an exciting, usually short, relationship between two people who are in love with each other"
romantic,connected with or about love or a sexual relationship
roof,the structure that covers or forms the top of a building or vehicle
room,"a part of a building that has its own walls, floor and ceiling and is usually used for a particular purpose"
root,the part of a plant that grows under the ground and takes in water and minerals that it sends to the rest of the plant
rope,"very strong thick string made by twisting thinner strings, wires, etc. together"
rose,a flower with a sweet smell that grows on a bush with thorns (= sharp points) on its stems
rotate,to move or turn around a central fixed point; to make something do this
rotation,the action of an object moving in a circle around a central fixed point
rough,having a surface that is not even or regular
roughly,approximately but not exactly
round,having a shape like a circle or a ball
route,a way that you follow to get from one place to another
routine,"done or happening as a normal part of a particular job, situation or process"
royal,connected with or belonging to the king or queen of a country
rub,"to move your hand, a cloth, etc., backwards and forwards over a surface while pressing it"
rubber,made of rubber
rubbish,things that you throw away because you no longer want or need them
rude,having or showing a lack of respect for other people and their feelings
rugby,"a game played by two teams of 13 or 15 players, using an oval ball which may be kicked or carried. Teams try to put the ball over the other team’s line."
ruin,the state or process of being destroyed or severely damaged
rule,"a statement of what may, must or must not be done in a particular situation or when playing a game"
ruling,"an official decision made by somebody in a position of authority, especially a judge"
rumour,"a piece of information, or a story, that people talk about, but that may not be true"
run,an act of running; a period of time spent running or the distance that somebody runs
runner,"a person or an animal that runs, especially one taking part in a race"
running,the action or sport of running
rural,connected with or like the countryside
rush,a sudden strong movement or action
sack,to dismiss somebody from a job
sacred,connected with God or a god; considered to be holy
sacrifice,the fact of giving up something important or valuable to you in order to get or do something that seems more important; something that you give up in this way
sad,unhappy or showing unhappiness
sadly,in a sad way
safe,"protected from any danger, harm or loss"
safety,the state of being safe and protected from danger or harm
sail,a sheet of strong cloth which the wind blows against to make a boat or ship travel through the water
sailing,the sport or activity of travelling in a boat with sails
sailor,a person who works on a ship as a member of the crew
saint,"a person that the Christian Church recognizes as being very holy, because of the way they have lived or died"
salad,"a mixture of raw vegetables such as lettuce, tomato and cucumber, usually served with other food as part of a meal"
salary,"money that employees receive for doing their job, especially professional employees or people working in an office, usually paid every month"
sale,an act or the process of selling something
salt,a white substance that is added to food to make it taste better or to preserve it. Salt is obtained from mines and is also found in seawater. It is sometimes called common salt to show that it is different from other chemical salts. Its chemical name is sodium chloride.
same,exactly the one or ones referred to or mentioned; not different
sample,a number of people or things taken from a larger group and used in tests to provide information about the group
sanction,"an official order that limits trade, contact, etc. with a particular country, in order to make it do something, such as obeying international law"
sand,"a substance that consists of very small fine grains of rock. Sand is found on beaches, in deserts, etc."
sandwich,"two slices of bread, often spread with butter, with a layer of meat, cheese, etc. between them"
satellite,"an electronic device that is sent into space and moves around the earth or another planet. It is used for communicating by radio, television, etc. and for gathering information."
satisfaction,the good feeling that you have when you have achieved something or when something that you wanted to happen does happen; something that gives you this feeling
satisfied,pleased because you have achieved something or because something that you wanted to happen has happened
satisfy,to make somebody pleased by doing or giving them what they want
Saturday,the day of the week after Friday and before Sunday
sauce,a thick liquid that is eaten with food to add taste to it
save,"to keep somebody/something safe from death, harm, loss, etc."
saving,an amount of something such as time or money that you do not need to use or spend
say,the right to influence something by giving your opinion before a decision is made
scale,"the size or extent of something, especially when compared with something else"
scan,"to look quickly but not very carefully at a document, etc."
scandal,behaviour or an event that people think is morally or legally wrong and causes public feelings of shock or anger
scare,a situation in which a lot of people are anxious or frightened about something
scared,frightened of something or afraid that something bad might happen
scary,frightening
scattered,spread far apart over a wide area or over a long period of time
scenario,a description of how things might happen in the future
scene,"the place where something happens, especially something unpleasant"
sceptical,having doubts that a claim or statement is true or that something will happen
schedule,a plan that lists all the work that you have to do and when you must do each thing
scheme,a plan or system for doing or organizing something
scholar,a person who knows a lot about a particular subject because they have studied it in detail
scholarship,an amount of money given to somebody by an organization to help pay for their education
school,a place where children go to be educated
science,"knowledge about the structure and behaviour of the natural and physical world, based on facts that you can prove, for example by experiments"
scientific,involving science; connected with science
scientist,"a person who studies one or more of the natural sciences (= for example, physics, chemistry or biology)"
scope,the opportunity or ability to do or achieve something
score,"the number of points, goals, etc. scored by each player or team in a game or competition"
scratch,"a mark, a cut or an injury made by scratching somebody’s skin or the surface of something"
scream,"a loud high shout made by somebody who is hurt, frightened, excited, etc.; a loud high noise"
screen,"the flat surface at the front of a television, computer, or other electronic device, on which you see pictures or information"
screening,the act of showing a film or television programme
screw,"a thin pointed piece of metal like a nail with a raised spiral line (called a thread) along it and a line or cross cut into its head. Screws are turned and pressed into wood, metal, etc. with a screwdriver in order to fasten two things together."
script,"a written text of a play, film, broadcast, talk, etc."
scrutiny,careful and complete examination
sculpture,"a work of art that is a solid figure or object made by carving or shaping wood, stone, clay, metal, etc."
sea,the salt water that covers most of the earth’s surface and surrounds its continents and islands
seal,"an official design or mark, stamped on a document to show that it is real and carries the authority of a particular person or organization"
search,"an attempt to find somebody/something, especially by looking carefully for them/it"
season,"any of the four main periods of the year: spring, summer, autumn and winter"
seat,"a place where you can sit, for example a chair"
second,after one other person or thing in order or importance
secondary,connected with teaching children of 11–18 years
secondly,used to introduce the second of a list of points you want to make in a speech or piece of writing
secret,known about by only a few people; kept hidden from others
secretary,"a person who works in an office, working for another person, dealing with mail and phone calls, keeping records, arranging meetings with people, etc."
section,any of the parts into which something is divided
sector,"a part of an area of activity, especially of a country’s economy"
secular,not connected with spiritual or religious matters
secure,likely to continue or be successful for a long time
security,"the activities involved in protecting a country, building or person against attack, danger, etc."
see,to become aware of somebody/something by using your eyes
seed,"the small hard part produced by a plant, from which a new plant can grow"
seek,to look for something/somebody
seeker,a person who is trying to find or get the thing mentioned
seem,to give the impression of being or doing something
seemingly,in a way that appears to be true but may in fact not be
segment,a part of something that is separate from the other parts or can be considered separately
seize,to take somebody/something in your hand suddenly and using force
seldom,not often
select,"to choose somebody/something from a group of people or things, usually according to a system"
selection,"the process of choosing somebody/something from a group of people or things, usually according to a system"
selective,affecting or involving only a small number of people or things from a larger group
self,"the type of person you are, especially the way you normally behave, look or feel"
sell,to give something to somebody in exchange for money
seminar,a class at a university or college when a small group of students and a teacher discuss or study a particular topic
senator,a member of a senate
send,"to make something go or be taken to a place, especially by post, email, radio, etc."
senior,high in rank or status; higher in rank or status than others
sensation,a feeling that you get when something affects your body
sense,an understanding about something; an ability to judge something
sensible,able to make good judgements based on reason and experience rather than emotion; practical
sensitive,aware of and able to understand other people and their feelings
sensitivity,the ability to understand other people’s feelings
sentence,"a set of words expressing a statement, a question or an order, usually containing a subject and a verb. In written English sentences begin with a capital letter and end with a full stop/period (.), a question mark (?) or an exclamation mark (!)."
sentiment,"a feeling or an opinion, especially one based on emotions"
separate,forming a unit by itself; not joined to something else
separation,the act of separating people or things; the state of being separate
September,"the 9th month of the year, between August and October"
sequence,"a set of events, actions, numbers, etc. which have a particular order and which lead to a particular result"
serial,doing the same thing in the same way several times; done in the same way several times
series,a set of television or radio programmes or podcasts that deal with the same subject or that have the same characters
serious,bad or dangerous
seriously,in a serious way
servant,"a person who works in another person’s house, and cooks, cleans, etc. for them"
serve,"to give somebody food or drink, for example at a restaurant or during a meal"
service,"a system that provides something that the public needs, organized by the government or a private company"
session,a period of time that is spent doing a particular activity
set,a group of similar things that belong together in some way
set-up,a way of organizing something; a system
setting,an environment where something is located; the place at which something happens
settle,to put an end to an argument or a disagreement
settlement,an official agreement that ends an argument between two people or groups
settler,a person who goes to live in a new country or region
several,more than two but not very many
seven,7
severe,extremely bad or serious
severely,very badly or seriously
sex,the state of being male or female
sexual,connected with the physical activity of sex
sexuality,the feelings and activities connected with a person’s sexual desires
sexy,sexually attractive
shade,"an area that is dark and cool under or behind something, for example a tree or building, because the sun’s light does not get to it"
shadow,"the dark shape that somebody/something’s form makes on a surface, for example on the ground, when they are between the light and the surface"
shake,an act of shaking somebody/something
shall,used with I and we for talking about or predicting the future
shallow,not having much distance between the top or surface and the bottom
shame,used to say that something is a cause for feeling sad or disappointed
shape,the form of the outer edges or surfaces of something; an example of something that has a particular form
shaped,having the type of shape mentioned
share,one part of something that is divided between two or more people
shareholder,an owner of shares in a company or business
sharp,"having a fine edge or point, especially of something that can cut or make a hole in something"
shatter,to suddenly break into small pieces; to make something suddenly break into small pieces
she,a female person or animal that has already been mentioned or is easily identified
shed,to get rid of something that is no longer wanted
sheep,"an animal with a thick coat, kept on farms for its meat (called mutton or lamb) or its wool"
sheer,"used to emphasize the size, degree or amount of something"
sheet,a large piece of thin cloth used on a bed to lie on or lie under
shelf,"a flat board, made of wood, metal, glass, etc., fixed to the wall or forming part of a cupboard, bookcase, etc., for things to be placed on"
shell,"the hard outer part of eggs, nuts, some seeds, and some animals"
shelter,"the fact of having a place to live or stay, considered as a basic human need"
shift,a period of time worked by a group of workers who start work as another group finishes
shine,to produce or reflect light; to be bright
shiny,smooth and bright; reflecting the light
ship,a large boat that carries people or goods by sea
shipping,ships in general or considered as a group
shirt,"a piece of clothing worn on the upper part of the body, made of light cloth, with sleeves and usually with a collar and buttons down the front"
shock,"a strong feeling of surprise as a result of something happening, especially something unpleasant; the event that causes this feeling"
shocked,surprised and upset; showing that somebody feels surprised and upset
shocking,that offends or upsets people; that is morally wrong
shoe,one of a pair of objects usually made of leather or plastic that you wear on your feet
shoot,the part that grows up from the ground when a plant starts to grow; a new part that grows on plants or trees
shooting,a situation in which a person is shot with a gun
shop,a building or part of a building where you can buy goods or services
shopping,the activity of going to shops and buying things or ordering them online
shore,"the land along the edge of the sea, the ocean or a lake"
short,"measuring or covering a small length or distance, or a smaller length or distance than usual"
short-term,lasting a short time; designed only for a short period of time in the future
shortage,a situation when there is not enough of the people or things that are needed
shortly,a short time; not long
shot,the act of firing a gun; the sound this makes
should,"used to show what is right, appropriate, etc., especially when criticizing somebody’s actions"
shoulder,either of the two parts of the body between the top of each arm and the neck
shout,"a loud cry of anger, fear, excitement, etc."
show,a programme on television or the radio
shower,a piece of equipment producing a flow of water that you stand under to wash yourself; the small room or part of a room that contains a shower
shrink,"to become smaller, especially when washed in water that is too hot; to make clothes, cloth, etc. smaller in this way"
shrug,to raise your shoulders and then drop them to show that you do not know or care about something
shut,not open
shy,nervous or embarrassed about meeting and speaking to other people
sibling,a brother or sister
sick,physically or mentally ill
side,"either of the two halves of a surface, an object or an area that is divided by an imaginary central line"
sigh,an act or the sound of sighing
sight,the ability to see
sign,"an event, an action, a fact, etc. that shows that something exists, is happening or may happen in the future"
signal,"a movement or sound that you make to give somebody information, instructions, a warning, etc."
signature,"your name as you usually write it, for example at the end of a letter"
significance,"the importance of something, especially when this has an effect on what happens in the future"
significant,large or important enough to have an effect or to be noticed
significantly,in a way that is large or important enough to have an effect on something or to be noticed
silence,a complete lack of noise or sound
silent,where there is little or no sound; making little or no sound
silk,fine soft thread produced by silkworms
silly,"showing a lack of thought, understanding, or judgement"
silver,shiny grey-white in colour
similar,like somebody/something but not exactly the same
similarity,the state of being similar to somebody/something but not exactly the same
similarly,in almost the same way
simple,not complicated; easy to understand or do
simply,used to emphasize how easy or basic something is
simulate,"to create particular conditions that exist in real life using computers, models, etc., usually for study or training purposes"
simulation,a situation in which a particular set of conditions is created artificially in order to study or experience something that could exist in reality
simultaneously,at the same time as something else
sin,an offence against God or against a religious or moral law
since,"from a time in the past until a later past time, or until now"
sincere,showing what you really think or feel
sing,to make musical sounds with your voice in the form of a song or tune
singer,"a person who sings, or whose job is singing, especially in public"
singing,the activity of making musical sounds with your voice
single,only one
sink,to go down below the surface or towards the bottom of a liquid or soft substance
sir,"used as a polite way of addressing a man whose name you do not know, for example in a shop or restaurant"
sister,a girl or woman who has the same mother and father as another person
sit,"to rest your weight on your bottom with your back straight, for example on/in a chair"
six,6
site,"a place where a building, town, etc. was, is or will be located"
situated,in a particular place or position
situation,all the circumstances and things that are happening at a particular time and in a particular place
size,how large or small a person or thing is
sketch,a simple picture that is drawn quickly and does not have many details
ski,connected with the sport of skiing
skiing,the sport or activity of moving over snow on skis
skill,the ability to do something well
skilled,"having enough ability, experience and knowledge to be able to do something well"
skin,the layer of tissue that covers the body
skip,to move forwards lightly and quickly making a little jump with each step
skirt,a piece of clothing that hangs from the middle part of the body
skull,the bone structure that forms the head and surrounds and protects the brain
sky,"the space above the earth that you can see when you look up, where clouds and the sun, moon and stars appear"
slam,"to shut, or to make something shut, with a lot of force, making a loud noise"
slap,to hit somebody/something with the flat part of your hand
slash,"to make a long cut with a sharp object, especially in a violent way"
slave,a person who is owned by another person and is forced to work for and obey them
slavery,the state of being forced to work as a slave
sleep,"the natural state of rest in which your eyes are closed, your body is not active, and your mind is not conscious"
slice,"a thin flat piece of bread, meat, cheese, etc. that has been cut off a larger piece; a piece of cake that has been cut from a larger cake"
slide,"one page of an electronic presentation, that may contain text and images, that is usually viewed on a computer screen or projected onto a larger screen"
slight,very small in degree
slightly,a little
slip,to slide a short distance by accident so that you fall or nearly fall
slogan,"a word or phrase that is easy to remember, used for example by a political party or in advertising to attract people’s attention or to suggest an idea quickly"
slope,a surface or piece of land that slopes (= is higher at one end than the other)
slot,"a long, narrow opening, into which you put or fit something"
slow,"not moving, acting or done quickly; taking a long time; not fast"
slowly,at a slow speed; not quickly
small,"not large in size, number, degree, amount, etc."
smart,looking clean and neat; well dressed in fashionable and/or formal clothes
smartphone,"a mobile phone that also has some of the functions of a computer, for example the facility to use apps and the internet"
smash,"to break something, or to be broken, violently and noisily into many pieces"
smell,the quality of something that people and animals sense through their noses
smile,"the expression that you have on your face when you are happy or you think something is funny, in which the corners of your mouth turn upwards"
smoke,"the grey, white or black gas that is produced by something burning"
smoking,"the activity or habit of smoking cigarettes, etc."
smooth,"completely flat and even, without any rough areas or holes"
snake,"a reptile with a very long thin body and no legs. There are many types of snake, some of which are poisonous."
snap,to break something suddenly with a sharp noise; to be broken in this way
snow,small soft white pieces (called flakes) of frozen water that fall from the sky in cold weather; this substance when it is lying on the ground
so,to such a great degree
so-called,used to show that you do not think that the word or phrase that is being used to describe somebody/something is appropriate
soak,to put something in liquid for a time so that it becomes completely wet; to become completely wet in this way
soap,a substance that you use with water for washing your body
soar,"if the value, amount or level of something soars, it rises very quickly"
soccer,"a game played by two teams of 11 players, using a round ball which players kick up and down the playing field. Teams try to kick the ball into the other team’s goal."
social,connected with activities in which people meet each other for pleasure
socialist,connected with socialism
society,"people in general, living together in communities"
sock,"a piece of clothing that is worn over the foot, ankle and lower part of the leg, especially inside a shoe"
soft,changing shape easily when pressed; not stiff or hard
software,the programs used by a computer for doing particular jobs
soil,"the top layer of the earth in which plants, trees, etc. grow"
solar,of or connected with the sun
soldier,"a member of an army, especially one who is not an officer"
sole,only; single
solely,only; not involving somebody/something else
solicitor,"a lawyer who prepares legal documents, for example for the sale of land or buildings, advises people on legal matters, and can speak for them in some courts of law"
solid,hard; not in the form of a liquid or gas
solidarity,"support by one person or group of people for another because they share feelings, opinions, aims, etc."
solo,"done by one person alone, without anyone helping them"
solution,a way of solving a problem or dealing with a difficult situation
solve,to find a way of dealing with a problem or difficult situation
some,"used with uncountable nouns or plural countable nouns to mean ‘an amount of’ or ‘a number of’, when the amount or number is not given"
somebody,a person who is not known or mentioned by name
somehow,in a way that is not known or certain
someone,a person who is not known or mentioned by name
something,a thing that is not known or mentioned by name
sometime,at a time that you do not know exactly or has not yet been decided
sometimes,occasionally rather than all of the time
somewhat,to some degree
somewhere,"in, at or to a place that you do not know or do not mention by name"
son,a person’s male child
song,a short piece of music with words that you sing
soon,in a short time from now; a short time after something else has happened
sophisticated,clever and complicated in the way that it works or is presented
sorry,feeling sad and ashamed about something that has been done
sort,a group or type of people or things that are similar in a particular way
soul,"the spiritual part of a person, believed to exist after death"
sound,sensible; that you can rely on and that will probably give good results
soup,"a liquid food made by boiling meat, vegetables, etc. in water, often eaten as the first course of a meal"
source,"a place, person or thing that you get something from"
south,in or towards the south
southern,located in the south or facing south; connected with or typical of the south part of the world or a region
sovereignty,complete power to govern a country
space,the area outside the earth’s atmosphere where all the other planets and stars are
spam,advertising material sent by email to people who have not asked for it; advertising material on the internet that is not wanted
span,the length of time that something lasts or is able to continue
spare,available to do what you want with rather than work
spark,"to cause something to start or develop, especially suddenly"
speak,to talk to somebody about something; to have a conversation with somebody
speaker,a person who gives a talk or makes a speech
special,not ordinary or usual; different from what is normal
specialist,"having or involving expert knowledge of a particular area of work, study or medicine"
specialize,"to become an expert in a particular area of work, study or business; to spend more time on one area of work, etc. than on others"
specialized,designed or developed for a particular purpose or area of knowledge
species,"a group into which animals, plants, etc. that are able to have sex with each other and produce healthy young are divided, smaller than a genus and identified by a Latin name"
specific,connected with one particular thing only
specifically,connected with or intended for one particular thing only
specification,"a detailed description of how something is, or should be, designed or made"
specify,"to state something, especially by giving an exact measurement, time, exact instructions, etc."
specimen,a small amount of something that shows what the rest of it is like
spectacle,two lenses in a frame that rests on the nose and ears. People wear spectacles in order to be able to see better or to protect their eyes from bright light.
spectacular,very impressive
spectator,"a person who is watching an event, especially a sports event"
spectrum,"a band of coloured lights in order of their wavelengths, as seen in a rainbow and into which light may be separated"
speculate,to form an opinion about something without knowing all the details or facts
speculation,the act of forming opinions about what has happened or what might happen without knowing all the facts
speech,a formal talk that a person gives to an audience
speed,the rate at which somebody/something moves or travels
spell,a short period of time during which something lasts
spelling,the act of forming words correctly from individual letters; the ability to do this
spend,"to give money to pay for goods, services, etc."
spending,"the amount of money that is spent by a government, an organization or a person"
sphere,"a solid figure that is completely round, with every point on its surface at an equal distance from the centre"
spice,one of the various types of powder or seed that come from plants and are used in cooking. Spices have a strong taste and smell.
spicy,having a strong taste because spices have been added to it
spider,a small creature with eight thin legs. Many spiders spin webs to catch insects for food.
spill,to flow over the edge of a container by accident; to make liquid do this
spin,a very fast turning movement
spine,the row of small bones that are connected together down the middle of the back
spirit,"the part of a person that includes their mind, feelings and character rather than their body"
spiritual,"connected with the human spirit, rather than the body or physical things"
spite,a feeling of wanting to hurt or upset somebody
split,an argument or disagreement that divides a group of people or makes somebody separate from somebody else
spoil,"to change something good into something bad, unpleasant, etc."
spoken,involving speaking rather than writing; expressed in speech rather than in writing
spokesman,a person who speaks for a group or an organization
spokesperson,a person who speaks for a group or an organization
spokeswoman,a woman who speaks for a group or an organization
sponsor,"a person or company that pays for a radio or television programme, or for a concert or sporting event, usually in return for advertising"
sponsorship,financial support from a sponsor
spoon,"a tool that has a handle with a shallow bowl at the end, used for mixing, serving and eating food"
sport,"activity that you do for pleasure and that needs physical effort or skill, usually done in a special area and according to fixed rules"
sporting,connected with sports
spot,a small round area that has a different colour or feels different from the surface it is on
spotlight,"a light with a single, very bright beam that can be directed at a particular place or person, especially a performer on the stage"
spouse,a husband or wife
spread,"an increase in the amount or number of something that there is, or in the area that is affected by something"
spring,the season between winter and summer when plants begin to grow
spy,"a person who tries to get secret information about another country, organization or person, especially somebody who is employed by a government or the police"
squad,a section of a police force that deals with a particular type of crime
square,having four straight equal sides and four angles of 90°
squeeze,"to press something, especially with your fingers"
stab,"to push a sharp, pointed object, especially a knife, into somebody, killing or injuring them"
stability,the quality or state of being steady and not changing or being upset in any way (= the quality of being stable)
stabilize,to become or to make something become steady and unlikely to change; to make something stable
stable,"fixed or steady; not likely to move, change or fail"
stadium,a large sports ground surrounded by rows of seats and usually other buildings
staff,all the workers employed in an organization considered as a group
stage,a period or state that something/somebody passes through while developing or making progress
stair,a set of steps built between two floors inside a building
stake,money that somebody invests in a company
stall,"a table or small shop with an open front that people sell things from, especially at a market"
stamp,a small piece of paper with a design on it that you buy and stick on an envelope or a package before you post it
stance,the opinions that somebody has about something and expresses publicly
stand,an attitude towards something or an opinion that you make clear to people
standard,average or normal rather than having special or unusual features
standing,done from a position in which you are standing rather than sitting or running
star,a large ball of burning gas in space that we see as a point of light in the sky at night
stare,to look at somebody/something for a long time
stark,"unpleasant; real, and impossible to avoid"
start,the point at which something begins
starve,to suffer or die because you do not have enough food to eat; to make somebody suffer or die in this way
state,provided or controlled by the government of a country
statement,something that you say or write that gives information or an opinion
station,a place where trains stop so that passengers can get on and off; the buildings connected with this
statistic,a collection of information shown in numbers
statistical,connected with or based on statistics
statue,"a figure of a person or an animal in stone, metal, etc., usually the same size as in real life or larger"
status,"the legal position of a person, group or country"
stay,a period of staying; a visit
steadily,gradually and in an even and regular way
steady,"developing, growing, etc. gradually and in an even and regular way"
steal,"to take something from a person, shop, etc. without permission and without intending to return it or pay for it"
steam,the hot gas that water changes into when it boils
steel,"a strong, hard metal that is made of a mixture of iron and carbon"
steep,"rising or falling quickly, not gradually"
steer,"to control the direction in which a boat, car, etc. moves"
stem,"the main long, thin part of a plant above the ground from which the leaves or flowers grow; a smaller part that grows from this and supports flowers or leaves"
step,one of a series of things that you do in order to achieve something
stereotype,"a fixed idea or image that many people have of a particular type of person or thing, but which is often not true in reality and may cause hurt and offence"
stick,a thin piece of wood that has fallen or been broken from a tree
sticky,made of or covered in a substance that sticks to things that touch it
stiff,difficult to bend or move
still,not moving; calm and quiet
stimulate,to make something develop or become more active; to encourage something
stimulus,something that helps somebody/something to develop better or more quickly
stir,"to move a liquid or substance around, using a spoon or something similar, in order to mix it completely"
stock,a supply of goods that is available for sale in a shop
stomach,the organ inside the body where food goes when you eat it
stone,"a hard solid mineral substance that is found in the ground, often used for building"
stop,a place where a bus or train stops regularly for passengers to get on or off
storage,the process of keeping something in a particular place until it is needed; the space where things can be kept
store,a large shop that sells many different types of goods
storm,"very bad weather with strong winds and rain, and often thunder and lightning"
story,a description of events and people that the writer or speaker has invented in order to entertain people
straight,without a bend or curve; going in one direction only
straightforward,easy to do or to understand; not complicated
strain,pressure on a system or relationship because great demands are being placed on it
strand,"a single thin piece of thread, wire, hair, etc."
strange,"unusual or surprising, especially in a way that is difficult to understand"
stranger,a person that you do not know
strategic,done as part of a plan that is meant to achieve a particular purpose or to gain an advantage
strategy,a plan that is intended to achieve a particular purpose
stream,"a small, narrow river"
street,a public road in a city or town that has houses and buildings on one side or both sides
strength,the quality of being physically strong
strengthen,to become more powerful or effective; to make somebody/something more powerful or effective
stress,pressure or worry caused by problems in somebody’s life or by having too much to do
stretch,"an area of land or water, especially a long one"
strict,that must be obeyed exactly
strictly,with a lot of control and rules that must be obeyed
strike,a period of time when an organized group of employees of a company stops working because of an argument over pay or conditions
striking,interesting and unusual enough to attract attention
string,"long, thin material used for tying things together, made of several threads that have been twisted together; a piece of string used to fasten or pull something or keep something in place"
strip,"a long narrow piece of paper, metal, cloth, etc."
strive,to try very hard to achieve something
stroke,"an act of hitting a ball, for example with a bat or racket"
strong,"having a lot of physical power so that you can lift heavy weights, do hard physical work, etc."
strongly,in a way that shows definite and serious opinions or beliefs
structural,connected with the way in which something is built or organized
structure,"the way in which the parts of something are connected together, arranged or organized; a particular arrangement of parts"
struggle,"a hard fight in which people try to obtain or achieve something, especially something that somebody else does not want them to have"
student,a person who is studying at a university or college
studio,"a room where radio or television programmes are recorded and broadcast from, or where music is recorded"
study,"the activity of learning or gaining knowledge, either from books or by examining things in the world"
stuff,"used to refer to a substance, material, group of objects, etc. when you do not know the name, when the name is not important or when it is obvious what you are talking about"
stumble,to hit your foot against something while you are walking or running and almost fall
stun,"to make a person or an animal unconscious for a short time, especially by hitting them on the head"
stunning,extremely attractive or impressive
stupid,showing a lack of thought or good judgement
style,the particular way in which something is done
subject,"likely to be affected by something, especially something bad"
submission,the act of accepting that somebody has defeated you and that you must obey them
submit,"to give a document, proposal, etc. to somebody in authority so that they can study or consider it"
subscriber,"a person who pays money, usually once a year, to receive regular copies of a magazine or newspaper or have access to it online"
subscription,"an amount of money that you pay regularly to receive a service, be a member of a club, support a charity or receive regular copies of a newspaper or magazine; the act of paying this money"
subsequent,happening or coming after something else
subsequently,afterwards; later; after something else has happened
subsidy,money that is paid by a government or an organization to reduce the costs of services or of producing goods so that their prices can be kept low
substance,"a type of solid, liquid or gas that has particular qualities"
substantial,"large in amount, value or importance"
substantially,very much; a lot
substitute,a person or thing that you use or have instead of the one you normally use or have
substitution,an act of using one person or thing in the place of another
subtle,not very obvious or easy to notice
suburb,an area where people live that is outside the centre of a city
suburban,in or connected with a suburb
succeed,to achieve something that you have been trying to do or get; to have the result or effect that was intended
success,the fact that you have achieved something that you want and have been trying to do or get
successful,achieving your aims or what was intended
successfully,in a way that achieves your aims or what was intended
succession,a number of people or things that follow each other in time or order
successive,following immediately one after the other
successor,a person or thing that comes after somebody/something else and takes their/its place
such,used to emphasize the great degree of something
suck,"to take liquid, air, etc. into your mouth by using the muscles of your lips"
sudden,happening or done quickly and unexpectedly
suddenly,quickly and unexpectedly
sue,to make a claim against a person or an organization in court about something that they have said or done to harm you
suffer,"to be badly affected by a disease, pain, sad feelings, a lack of something, etc."
suffering,physical or mental pain
sufficient,enough for a particular purpose; as much as you need
sufficiently,enough for a particular purpose; as much as you need
sugar,"a sweet substance, often in the form of white or brown crystals, made from the juices of various plants, used in cooking or to make tea, coffee, etc. sweeter"
suggest,to put forward an idea or a plan for other people to think about
suggestion,an idea or a plan that you mention for somebody else to think about
suicide,the act of killing yourself deliberately
suit,"a set of clothes made of the same cloth, including a jacket and trousers or a skirt"
suitable,right or appropriate for a particular purpose or occasion
suite,"a set of rooms, especially in a hotel"
sum,an amount of money
summarize,to give a summary of something
summary,"a short statement that gives only the main points of something, not the details"
summer,"the warmest season of the year, coming between spring and autumn"
summit,"the highest point of something, especially the top of a mountain"
sun,the star that shines in the sky during the day and gives the earth heat and light
